Column,Title,First Author,Second Author,Third Author,Fourth Author,Fifth Author,Sixth Author,Seventh Author,Abstract
x,Enabling Meta-analysis with a Research Data Repository,John Marcotte,Sarah Rush,Kelly Ogden-Schuette,,,,,"<p>Meta-analysis is a well-established method to systematically assess previous research and to derive conclusions about a body of scientific inquiry. Inferences based on multiple studies are more credible and are an important aspect of evidence-based research. While meta-analysis is typically conducted by comparing published articles, the availability of research data from different studies in the same repository accords the opportunity to examine results simultaneously. Data in the same repository facilitates discovery and access. Specifically, similar data in the same repository enables researchers to estimate analogous regressions. As evidence-based research becomes more widespread, facilitating meta-analytic research should be a key aim of repositories. A repository that adheres to the F.A.I.R. (Findable, Accessible, Interoperable, Reusable) principles offers researchers the opportunity to compare results from different studies. Repositories that focus on a theme, such as NICHD-funded Data Sharing for Demographic Research (DSDR), enable researchers to find studies with comparable variables and analogous samples. DSDR archives data on mother and child health, health disparities, and the human lifecycle for secondary analysis. Examples of analogous studies in DSDR are studies that have collected data on food insecurity, family structure and sexuality. While meta-analysis is common in the health sciences including public health, epidemiology and evidence-based medicine, quantitative researchers in other disciplines including the social sciences have not employed the technique as frequently. Meta-analysis can add to the validity of trends and other findings by demonstrating that results are not limited to a single study. Repositories that host data related to a common theme enable researchers to check if findings are consistent across multiple studies. Through repositories, researchers can also replicate published studies. In this paper, we demonstrate how to find comparable data and variables for meta-analysis. We show an example of a meta-analysis with datasets available in the DSDR repository.</p>"
x,Get Data Ready! with GSU: Georgia State University Library's Data Literacy Skills Digital Badges Micro-Credentialing Program,Mandy Swygart-Hobaugh,Halley Riley,Ashley Rockwell,,,,,"<p>In Spring 2022, Georgia State University Library&#39;s Research Data Services Department launched the GSU Data Ready! Badges data literacy micro-credentialing initiative: https://lib.gsu.edu/data-ready. In this poster session, we will present: (1) the content of our two badges tracks &mdash; data literacy foundations and software/coding training [14 separate badges]; (2) the online platforms [Canvas and Badgr] used for automated badge earning and distribution; (3) assessment of program success; and (4) ways in which other institutions might develop similar initiatives.</p>

<p>The poster session format will optimize attendee engagement via extended Q&amp;A and demonstration opportunities.</p>"
x,"Beyond Data Literacy: Helping Nontraditional Students Get ""Ready4Research""",Ann Glusker,,,,,,,"<p>The NavCal program at UC Berkeley does exciting work, assisting incoming nontraditional students in navigating the campus through a supportive, hands-on approach. &ldquo;Non-traditional&rdquo; includes low-income, first-generation college attendee, transfer and other students who may have challenges adjusting to a large, complex research university environment. A large majority of NavCal participants go on to gain acceptance into research fellowships and nationally-recognized graduate school pipeline programs.</p>

<p>The Library has a positive partnership with NavCal and a strong interest in campus-wide information and data literacy, so it made sense for the library to offer customized data literacy workshops for NavCal students&hellip; until an advisor said, &ldquo;what they really need is to get broader training in getting ready to take on research assistant positions.&rdquo; From this idea, Ready4Research was born: R4R is a 3-hour workshop to support students in learning about and getting ready to participate in research, as research assistants and researchers themselves, with data and data literacy embedded into the content.</p>

<p>Since its initial offering in Summer, 2021, Ready4Research has been offered each semester, to positive reviews and robust attendance. Aiming broadly at social sciences research, topics include: how research happens, what kinds of jobs research assistants do, what kind of data they may encounter, some approaches to analyzing and visualizing data, deciding what kinds of jobs to apply for, how to apply for them, how to develop their own research content to present and publish, tips from NavCal alumni, and more.</p>

<p>Attendees say that the exposure to the world of research at Berkeley (Cal) has opened their eyes to new possibilities for their academic careers. The workshop has also been revised for different formats and audiences, and ideas for further dissemination are in the works. This poster will outline the program, its development over time, and future plans for improvement.</p>"
x,IASSIST's Anti-Racism Resources Introduction and Hackathon,Meryl Brodsky,Michele Matz Hayslett,,,,,,"<p>IASSIST&rsquo;s Anti-Racism Resources Interest Group was formed in December 2020, as part of a suite of actions the Association took to respond to the deaths in the U.S. of George Floyd, Breonna Taylor and Ahmaud Arbery, among other (on-going) acts of violence against African Americans. The group&rsquo;s charge is to:<br>
<br>
Compile a variety of resources that might otherwise be difficult to find, e.g., datasets documenting racism and the Black experience internationally; tools, articles and rubrics for building anti-racism into the process of working with data across the research lifecycle; advice about combining and cleaning data around particular topics or to handle difficult analysis issues; etc.<br>
<br>
Leaders of the Group invite attendees to attend this unique session to learn about our progress and, in an active hands-on session, add resources to our lists and ideas for future activities to our arsenal. Bring your laptop or share with a friend to make your voice heard! We especially want to invite participants from a variety of countries.</p>"
X,Visualizing Global Collaborations: Democratizing Access to Persistent Identifier Metadata and Analysis,Olivia Given Castello,,,,,,,"<p>This poster investigates the opportunities and current challenges involved in using persistent identifier (PID) metadata to understand organizational research activity. A 2022 project led by the ORCID US Community (administered by Lyrasis) in partnership with the Drexel University LIS Education And Data Science Integrated Network Group (LEADING) program resulted in a suite of open tools that reduce the barrier to accessing and using ORCID data in meaningful ways. The LEADING fellows created an R script that can be used to retrieve information about publishing collaborations between researchers at a home organization and other organizations across the globe based on metadata from researchers&rsquo; ORCID profiles and publication DOI metadata. The resulting dataset can be imported into a Tableau Public dashboard template, resulting in data visualizations that may be shared with stakeholders to demonstrate researcher activity and start a conversation about impact. Despite gaps in the ORCID and DOI metadata, such as authors with no ORCID profile or an incomplete ORCID profile, the data and visualization tools can be used to advance research connections in several ways. The tools allow viewers to explore an organization&rsquo;s collaborative reach and show opportunities for improving global partnerships. The suite also allows individuals to filter to their own data and could provide support for highly and widely collaborative researchers&rsquo; tenure and promotion. This democratized access to aggregated PID data can help individuals and under-resourced organizations without in-house technical staff to retrieve ORCID API data and create custom visualizations. This poster will give viewers ideas on how they can visualize PID and collaboration data for their own organizations to better understand their global footprint and to show opportunities for expanding and diversifying their research partnerships.</p>"
x,Towards an inclusive RDM in Germany,Katrin Henzel,Monika Linne,,,,,,"<p>The topic of data accessibility for people with disabilities has received little or no consideration within research data management in Germany so far. RDM services and tools are being developed without taking into account requirements for the creation of accessible or low-barrier content. This makes it difficult for people with disabilities to access scientific information and research data or to pursue a scientific career. The absence of disabled scientists in turn reinforces the invisibility of discrimination. To remedy this situation, the working group &quot;Inclusive RDM&quot; was formed within the GO Unite!-Initiative. GO Unite! is the German Chapter of the GO FAIR Implementation Network Data Stewardship Competence Centers (DSCC-IN). Our talk aims to introduce the goals and tasks of this new working group and, in particular, to discuss challenges that arise for inclusive RDM. The new working group will start with the topic of accessibility in research data repositories. While there are already detailed recommendations for data publication on web interfaces (WCAG 2), there is still a lack of such for the access and use of data beyond the graphic user interface, i.e. for repositories and further RDM tools. The focus of the new working group will therefore initially be on communicating the technical and legal requirements for implementing open and more accessible research data repositories. A main goal of the working group is to create awareness within the RDM community in order to sensitize for this important topic. This is intended to accelerate the long overdue cultural change, not least to prepare the RDM community for the implementation of the European Accessibility Act (EAA) in 2025 at the national level.</p>"
X,Integrating and Evaluating Best Practices in Research Reproducibility at Carnegie Mellon University,Chasz Griego,,,,,,,"<p>Researchers face many challenges when producing accessible, reproducible, and reusable research. These challenges may arise from a lack of knowledge on which resources are available or simply having no gauge on the outcomes of peers reusing their work. Many tools exist to help researchers organize lab notes, protocols, and code for open dissemination, but they are often underutilized, as researchers are unaware of available institutional licenses or methods for integrating these tools across each stage of the research lifecycle. In this talk, we will describe how library associates at Carnegie Mellon University will conduct a campus-wide study to understand how open science tools can influence reproducible research. This project aims to create a community of diverse researchers that will collectively explore open science tools and apply them in a collaborative effort to reproduce and extend the findings of a research analysis. We will provide participants with a collection of digital outputs from a computational research project which includes access to data from our institutional repository, procedures recorded in protocols.io, and scripts prepared in Code Ocean. Each participant will reproduce an analysis from a sample project and conduct an additional analysis as an extension of the original study. Participants will upload their results to a project site on Open Science Framework, which will serve as the central venue for participants to share findings and collaborate on a collective analysis that extends the original study. Based on feedback and successes from participants, our results will address the best practices for integrating tools from libraries in the research lifecycle to support the needs of researchers who aim to maximize reproducibility across all disciplines.</p>"
x,Diversifying Librarianship through a Data Services Internship for BIPOC Graduate Students,Justin de la Cruz,,,,,,,"<p>The National Center for Data Services (NCDS) of the Network of the National Library of Medicine (NNLM) developed an annual Internship Program with the goal of providing practical experiences to graduate students from underrepresented racial and ethnic groups interested in learning about and gaining skills in data services. These internships were designed to include the soft and hard skills needed to enter data librarian positions, including working on a team, disseminating scholarship, and obtaining a job. NCDS worked with partner organizations Data Curation Network and the NNLM Evaluation Center to develop project ideas, trainings, and placements for nine interns to work 10 weeks during the summer of 2022. This internship program is an annual summer offering and was developed as part of the &quot;Leading the Charge&quot; EDI initiative by Hampton University and funded by IMLS. As part of this initiative, NCDS worked with EDI leaders and a consultant in development of the features of the internship.</p>

<p>This program serves to both grow the field by increasing capacity and to diversify the field by centering opportunities on BIPOC graduate students, not only as an introduction to data librarianship but acclimation to the field in a health sciences context. Interns gained practical experience while working with a mentor in a guided environment on structured data projects, helping to provide the interns with skills needed to be competitive for data librarian positions.</p>

<p>This presentation will present the ideas and outcomes from NCDS&rsquo;s first Internship Program, discussing the need to provide opportunities to graduate students from underrepresented racial and ethnic groups, talking about establishing structure and partnerships to help place interns, and exploring opportunities for replacing these types of programs at other institutions.</p>"
x,Using Common Data Elements to Foster Interoperability of Research on Health Disparities,Megan Chenoweth,John Kubale,James McNally,,,,,"<p>Common Data Elements (CDEs) are standardized questions, variables, or measures with specific sets of responses that are common across multiple studies. They are organized around a particular research topic or question, validated, and defined via a consensus building process. Their use fosters comparability of results and findings across studies. Defining CDEs and incorporating them at the data collection/creation stage promotes good data management practices by ensuring the interoperability and reusability of data from the beginning of the research data lifecycle.</p>

<p>CDEs are more common in NIH-funded clinical and biomedical research than in social, behavioral, and economic (SBE) research. Yet the community-driven, consensus-building approach to defining CDEs makes them well suited to measuring complex social phenomena, such as race and gender. Not only do CDEs offer both a repository of established measures, they also offer a mechanism for the research community to define new measures that reflect expanding knowledge and shifting identities. For example, as concepts of race and gender change over time and in different contexts, researchers can establish new CDEs to reflect those changes. This characteristic of CDEs &ndash; their flexibility and consensus-driven nature &ndash; has the potential to strengthen research on diverse populations.</p>

<p>The Social, Behavioral, and Economic COVID Coordinating Center at ICPSR (SBE CCC) is leading the effort to establish CDEs for SBE research into the effects of the COVID-19 pandemic. We are collaborating with fifteen NIH-funded research teams who are examining pandemic-related health disparities related to race, ethnicity, sex, geography, income, and other factors. This talk will describe our process for identifying, validating, and building consensus on CDEs related to COVID public health policies. We will also discuss plans to establish additional CDEs for COVID research, and to use SBE research on COVID-19 to illustrate how CDEs can improve harmonization across social science research.</p>"
x,"Flow My Tears, the Data Librarian Said: The Challenges and Frustrations of Working with Administrative Data",Rob O'Reilly,,,,,,,"<p>The New York Times recently published an article on how prisoners in the State of Louisiana often remain incarcerated well after their release dates (https://www.nytimes.com/2022/12/11/us/politics/louisiana-prison-overdetention.html). The article notes many contributing factors to this problem, including issues with the Criminal and Justice Unified Network system that the state uses to track offenders within the corrections system. In fact, this system was audited by the state, which found many issues with the management and accuracy of data in this system: https://app.lla.state.la.us/go.nsf/getSummary?OpenAgent&amp;arlkey=40160023CWIN-AYMATY.</p>

<p>In this presentation, I will discuss my own experiences with data from this system, including issues with both the &quot;tidyness&quot; of the data and their accuracy and the challenges of working with them in the context of helping a student work with the data for his dissertation. The presentation will also be in part a case study of the challenges that accompany working with administrative data that are not necessarily collected with researchers in mind.</p>"
x,A Competence Matrix for Data Curation,Tatiana Kvetnaya,Kathrin Behrens,,,,,,"<p>In recent years, the topic of research data management (RDM) has increasingly become one of the focal points of competence development for researchers. Thus, there are now a variety of training and education opportunities that are designed to enable and advance FAIR data management of research data. Due to the origins of primary research data, the majority of measures focus on enabling re-searchers to handle research data appropriately in the first place.<br>
<br>
So far, however, little attention has been paid to those who deal with data curation in research data centers on a daily basis and thus make an essential contribution to enabling a sustainably FAIR handling of research data. For this reason, our working group from KonsortSWD (&ldquo;Consortium for the Social, Behavioural, Educational and Economic Sciences&rdquo; by the National Research Data Infrastructure Germa-ny) is concerned with the dedicated competence development in the area of curation-specific RDM of employees in research data centers. For this purpose, we are creating a platform that will provide both an information portal and a training center with RDM topics for data curation.<br>
<br>
These services will be based on a competence matrix for data curation that we have designed and along which our services will be structured. The systematic inclusion of such a competence matrix of-fers various advantages: for example, the offers from the training center can be assigned very specifi-cally to individual competence areas. Additionally, learning objectives can be formulated and subse-quently evaluated more easily.<br>
<br>
The core of the presentation will be the introduction of the competence matrix as well as its ad-vantages related to the development of curation-focused RDM offerings. It will be shown that we can use the matrix to fill a gap in competency development for FAIR, sustainable and effective RDM in the field of data curation.</p>"
X,Developing metadata management training: Experiences and future plans,Hayley Mills,Becky Oldroyd,Jon Johnson,,,,,"<p>CLOSER is the interdisciplinary partnership of leading social and biomedical longitudinal population studies (LPS), the UK Data Service and The British Library. Our mission is to increase the visibility, use and impact of longitudinal population studies, data and research. One of our areas of focus is training and capacity building for researchers and those running LPS, with a particular focus on filling gaps in current provision.<br>
<br>
We currently offer a free, online educational resource introducing the basics of LPS, data and research. The CLOSER Learning Hub contains learning modules, including &lsquo;Understanding metadata&rsquo;, animations, research case studies and teaching datasets, and is used by several thousand users every month. This is complemented by a programme of training events including research methods, data analysis, and metadata management.<br>
<br>
There is a plethora of excellent resources for students and researchers related to Research Data Management (RDM), but the availability of metadata management training aimed at early career professionals or for Continuous Professional Development (CPD) is limited.<br>
<br>
In this presentation we will discuss our experiences and user feedback from the in-person metadata management training events which have been delivered, and how this is shaping our future training offer. We will outline our approach, progress to date, and potential opportunities. We are open to exploring collaborations with others who have experience or a similar vision in delivering metadata management training.</p>"
x,To do or not to do? – Decision-making trees and tools for legal questions in research data management (RDM),Oliver Watteler,,,,,,,"<p>In data management researchers and research support staff must deal with organizational, technical and legal questions. Examples are the data collection process, secure storage of personal information or the legal bases to process such data. Some of these questions have been answered in papers and presentations or have made their way into (commented) checklists. On the other hand, some questions are more complex, because they consist of simpler, more detailed and interdependent questions. Areas where this is particularly relevant are legal issues, such as data protection, intellectual property rights and contractual arrangements of various kinds. Now, even if these simpler questions increase the understanding of challenges and support the implementation of adequate data management means, legal aspects in general remain problematic for researchers and research support staff to tackle. In order to facilitate decision-making, the German project group KuRWORK (GESIS, Technical Information Library &ndash; TIB, Hannover, Science Center Berlin - WZB) evaluated decision-making trees designed by the DataJus project (Lauber-R&ouml;nsberger et al., Technical University, Dresden) by testing them against cases of existing data from research projects. The aim of the KuRWORK project is to improve these decision-making trees and to make them accessible in a more dynamic way. In this paper we present the original ideas, our improvements and Xerte (https://www.xerte.org.uk/) and HP5 (https://h5p.org/) as tools to map the decision trees.</p>"
x,Research Spotlights: Introducing a tool for showcasing the visibility of diverse populations in scholarly publications,Sarah Burchart,Homeyra Banaeefar,Eszter P�lv�lgyi-Polyak,,,,,"<p>The ICPSR Bibliography of Data-related Literature is a freely-available and continually updated database of over 105,000 citations that link data to primary and secondary analyses by researchers across the world. Since 2020, the Bibliography&rsquo;s Information Resource staff has been creating instructional resources called Research Spotlights, using the Bibliography as their source to synthesize the findings about one or several related topics. These Research Spotlights show how scholars are using data available from the Inter-university Consortium for Political and Social Research (ICPSR) in their analyses.<br>
<br>
This poster will showcase how we make use of Research Spotlights to highlight the diversity of populations represented across a variety of fields contained in the studies archived at ICPSR. In addition to shedding light on research publications using data connected to timely topics, the Research Spotlights written so far have been able to underscore how research findings are particularly relevant to specialized diverse communities, such as LGBTQ+ populations, women, or the elderly.<br>
<br>
The future goal for the Research Spotlights is to adopt better analytics to track their impact on data reuse. These short literature reviews increase awareness of the value of existing data to address new research questions. Data reuse is cost- and time-efficient, and it benefits users in many areas of social science including training and higher education. Librarians and other instructors can utilize Research Spotlights as data literacy tools to help students and emerging scholars find models for data reuse in the scholarly literature.</p>"
,Data Management and Care,Negeen Aghassibake,,,,,,,"<p>Data management is a critical part of the research process and implements safeguards against ethical, financial, and security risks. In academic libraries and other research supporting organizations, managing human subjects data is often taught with a range of motivations to encourage staff and researchers: compliance with funder requirements, securing sensitive information, ethical obligations, and more.<br>
<br>
In this lightning talk, I will propose a reframing of the discussion around data management in academic libraries. Rather than promoting research data management as a tool to primarily benefit the researcher or the institution, I will propose that data management should instead be reframed as an act of care for the research participants who have contributed their time, energy, and information for the purpose of the researcher&rsquo;s own goals, which ultimately benefit the institution. This is especially true for members of vulnerable and minoritized communities.<br>
<br>
Research data management tutorials and resources warn of the impact on researchers when they do not effectively manage the data that they collect and control. These warnings often focus on research, legal, and financial ramifications of poor data management practices. However, an often overlooked potential harm is the impact on the individuals who are part of the research data. Treating data management as an act of care is one approach to elevating the safety and security of the people behind the data points. This is distinct from the ethics of data management, which often distances the research subjects from the researchers by abstracting the real harms that can come from poor data management.<br>
<br>
This lightning talk will also propose questions for further discussion, a couple of which include: How do we move from compliance-based ethics frameworks to community-developed ethics frameworks? What role does aggregation play in both data invisibility and data management practices?</p>"
X,Advancing cross-domain data integration for global development - Learnings from the WorldFAIR project,Steve McEachern,Simon Hodson,Ran Li,Arofan Gregory,,,,"<p>Many research disciplines, including social sciences, have strong traditions of sharing and integrating data within their discipline, to address complex, multifaceted research and policy questions. This integration however becomes more challenging however when there is a need for coordination across research domains - data, semantics, computation and research methods vary widely, making shared understanding between researchers difficult to achieve, particularly in the short term. The problem becomes even more challenging when machine-to-machine interoperability is required - humans are able to manage uncertainty far more readily than machines.<br>
<br>
To this end, recent ongoing efforts by CODATA, the Committee on Data of the International Science Council, have focussed on addressing these cross-domain challenges through the initiative &quot;Making Data Work for Cross-Domain Grand Challenges&quot;. As part of this program, CODATA, the Research Data Alliance and international partners across 11 different research domains have come together through the EU-funded WorldFAIR project to understand and progress cross-domain interoperability. The project aims to join up disconnected initiatives on data management, data stewardship, and FAIR data practices, within and across disciplines and internationally, by utilising eleven case studies of FAIR data management practices within and between domains.<br>
<br>
This panel will present the first findings from three of these domain case studies, in social science and related domains of population health and urban health. Panellists from each of the case studies will present an overview of the first outputs of the project, studying current FAIR practices in each domain, and recommendations for future practice. The panel will then conclude with an introduction to the Cross-Domain Interoperability Framework - the key cross-domain output of the WorldFAIR project, which aims to establish key principles for a shared domain-agnostic framework for machine-to-machine interoperability across the research community as a whole.</p>"
X,Data for all: Data literacy lessons from a mini-course on data inclusivity and accessibility,Peace Ossom-Williamson,Christine Nieman,John Bramble,Elizabeth Roth,,,,"<p>Intertwining data literacy with inclusion and accessibility is critical to support increasing diversity in research. How data is collected, analyzed, and visualized is impacted by societal biases, which consciously (or unconsciously) create barriers to research learning and engagement by individuals with disabilities. This presentation will share the experience developing and facilitating a synchronous, online four-part mini-course designed to advance and increase the use of inclusive and accessible practices in producing and making use of health data. Featuring experts in intersections of DEIA and data governance, global informatics, and data visualization, the program provided guidance and practical applications for incorporating accessibility and inclusivity in data-based research. Topics covered in the course included inclusive data governance, particularly of Indigenous data, global data inclusivity, research data accessibility, and making data reporting and visualizations accessible to individuals with disabilities.<br>
<br>
This presentation will include responses and feedback from both students and instructors suggesting next steps to bring accessibility principles and practices into data literacy instruction. Actionable items from the course will be synthesized and shared to go beyond raising awareness and complying with standards. The presentation will identify common best practices and the different needs and accommodations that contribute to a cultural shift in global inclusivity and universal accessibility.</p>"
X,Librarians in the Military: information management lessons learned during the Ukraine crisis,Christina Kulp,,,,,,,"<p>Librarians in the Military: information management lessons learned during the Ukraine crisis.</p>

<p>Real world crises are challenging for information professionals, especially when established data and information management processes struggle to handle urgent demands for data in a dynamic situation. In 2022, I put my librarian skills to the test when I took a break from my normal duties at the Federal Reserve Bank of Kansas City and deployed to Europe as the Civil Knowledge Integration (CKI) officer for the United States Army in Europe and Africa (USAREUR-AF.) My job as a CKI officer was to manage information requests, find ways to organize information, and facilitate information exchanges between units. On February 24, Russia invaded Ukraine kicking off a major conflict in Europe and the crisis of millions of people fleeing across international borders. This presentation will cover several lessons I learned when faced with the unanticipated challenge of witnessing war on our watch&nbsp;and helping manage the military&#39;s information needs. I struggled with two universal problems in data and information&nbsp; management: volume and speed. While there was a wealth of information available, there were inadequate tools for consolidating and evaluating it. Frustration mounted as people attempt to &quot;keep everything&quot; and organization broke down. My first lesson learned was that understanding characteristics&nbsp;of information, like speed of flow and change, are essential in content management strategies. However, the main lesson learned was that information overload is not a technical problem. To quote NYU Professor Clay Shirky: &quot;There&#39;s no such thing as information overload. There&#39;s only filter failure.&quot; In a crisis, technological solutions rarely arrive in time, but applying proper analysis procedures, that focus vague and unanswerable questions into deliverable outcomes, is essential to success. The solution is not just about managing data, but how to ask a better question.</p>"
X,What Do You Mean I Can't Download the Full Text? - Supporting Research on Licensed Text Mining Platforms,Michael Beckstrand,Cody Hennesy,,,,,,"<p>As archives and digitized materials such as historical newspapers and journals become increasingly accessible, the demand for access to and effective analysis of these materials continues to rise. Gale, ProQuest, NewsBank, JSTOR and more have developed products providing restricted access to their full text archives, appeasing the original publishers but coming at a steep cost to academic institutions seeking to provide access to their researchers. In this presentation, we discuss our experiences working with a number of these platforms and speaking with the platforms&rsquo; developers about their implementation and features. Further, we detail our experiences actively supporting a number of research projects utilizing these data. Particularly we focus on navigating the tensions created in helping researchers in this space, both in time allotment and in managing expectations in the face of the &ldquo;garbage in-garbage out&rdquo; principle and the difficulty in effectively communicating the absence of a magic &ldquo;easy&rdquo; button to make sense of millions of newspaper articles over time.</p>"
X,Doing what works in teaching with data: quantitative data and data skills in UK social science higher education teaching,Jennifer Buckley,Alle Bloom,Vanessa Higgins,,,,,<p>This presentation looks at how quantitative data is being used in social science teaching in UK Higher Education. Discussions on the teaching of research methods have emphasised the role of data as a pedagogical hook; data is important for making research methods engaging and knowable to students. We consider the question of what data lecturers use in their teaching and how and why do they use it. We explored these questions with lecturers in a mixed method study that combined a survey and interviews and found how lecturers identify &lsquo;what works.&rsquo; What works is shaped by multiple factors including the work involved in finding and preparing data for teaching as well as wider orientations towards teaching quantitative research and data skills as part of a broader curriculum. The talk concludes with insights into what makes good data for teaching and a discussion of the challenges around introducing programming into the curriculum.</p>
x,Delivering data from the UK Censuses 2021/22 - challenges faced: data on the LGBTQ+ population and privacy,Oliver Duke-Williams,Vassilis Routsis,,,,,,"<p>The UK Data Service (UKDS) is the flagship project in UK research infrastructure. It is a collaboration between the universities of Essex, Manchester, Southampton, UCL, Edinburgh and Jisc, and it provides a wide range of social sciences, humanities, and economic research data. Part of the data offered by UKDS is census data. The Office for National Statistics has partnered with UKDS to disseminate 2011 and 2021 census data, trusting it with securing access to safeguarded tables.</p>

<p>The 2021 census has been unique because it took place amid the Covid-19 pandemic, which is expected to have affected the given responses. For these reasons, Scotland decided to delay its census by one year to 2022, which has made harmonising census data across the UK almost impossible. This paper will discuss the challenges and peculiarities of the 2021 census in the UK and will demonstrate how UKDS handles data management and access to census data. The paper will discuss some of the privacy measures adopted, especially in relation to population groups with relatively few people. In particular, it will present findings on gender identity and sexual orientation, which were asked in UK Censuses for the first time in 2021, and look at both observed patterns and possible interactions with disclosure control.</p>

<p>Lastly, the UKDS is currently developing new tools to modernise its census delivery services. The presenter will take the opportunity offered by IASSIST conference to demonstrate some of these applications to the public for the first time.</p>"
x,Repository CARE takes time: data repository management and implementation of social justice principles towards ethical data sharing,Reid Boehm,Megan O'Donnell,Matthew Harp,,,,,"<p>Managers of institutional data repositories consistently navigate complex datasets, metadata, policies, and a wide array of ethical questions while fulfilling their primary mission: sharing research data as &ldquo;open as possible and as closed as necessary.&rdquo; The risks to the institution, and more importantly, to communities and individuals is significant when data contains information about, or created in partnership with, underserved and underrepresented groups. The CARE Principles for Indigenous Data Governance, which focus on collective benefit, authority to control, responsibility, and ethics, is one of the best tools developed to guide processes to include indigenous and community data sovereignty in our systems and services. At the same time, adopting CARE and other forms of reparative justice for research data stewardship requires intentional, dedicated time for building relationships and establishing discourse to develop flexible solutions. These critical actions rarely fit within the framing of Western research practices. In this presentation we address implementation of practices like the CARE principles in connection with our roles as maintainers and administrators of three different institutional data repositories. Each devoted to open and ethical data sharing and stewardship, we share a goal to integrate and operationalize the principles, a need heightened by advances in big data, machine learning, and lack of diversity in many research fields. Through this dialogue we consider necessary reframing and continuous questioning of our repositories and support practices that will allow us to better serve people and communities.</p>"
x,Developing an Interactive Data Deposit Decision Tree,Dylanne Dearborn,Jasmine Lefresne,Leslie Barnes,Steve Marks,,,,"<p>A number of resources exist that guide researchers to select an appropriate repository in which to deposit their research data. Most focus repository selection through a specific lens, such as funder requirements, FAIR principles, or sensitive data. This project represents an attempt to develop one interactive tool that lets user needs determine the best path. Three objectives guided us: (1) our Decision Tree needed to account for institutional and national contexts, including funder requirements, legal and ethical frameworks, and institutional practices; (2) we wanted to help researchers make informed decisions about depositing their data and cultivate a deeper understanding of the many factors that might impact their choice; and (3) we wanted to develop a flexible and interactive tool that responds to researchers&rsquo; varying priorities and motivations. Our Decision Tree simultaneously helps researchers make the right data repository selection, introduces users to the research data landscape, and streamlines consultation processes and library workflows.</p>"
x,Setting the Foundations for Stronger Partnerships and Collaborations for Developing Institutional RDM Strategies in Canada,Lucia Costanzo,Alexandra Cooper,,,,,,"<p>The Government of Canada&rsquo;s Tri-Agency formally launched the Research Data Management (RDM) Policy in March 2021 with the objective of supporting &ldquo;Canadian research excellence by promoting sound data management and data stewardship practices&rdquo;. A central component of this policy requires postsecondary institutions eligible to administer Canadian Institutes for Health Research (CIHR), Natural Sciences and Engineering Council (NSERC) or Social Science and Humanities Research Council (SSHRC) funds to create an institutional RDM strategy by March 2023.</p>

<p>A national survey was developed and distributed to gauge institutions&rsquo; readiness for developing an institutional RDM strategy required by the Tri-Agency. As part of the survey development, emphasis was placed on increasing participation from diverse institutions of various sizes, geographical location and official languages (English and French) to ensure that future Alliance support and resources are developed to address the distinct needs of institutions.</p>

<p>Survey results were summarized in a report along with recommendations including increasing Tri-Agency involvement as institutions developed their institutional RDM strategies, encouraging institutions to collaborate, and for the Alliance RDM to develop forums and provide support for disciplinary societies to have RDM conversations.</p>

<p>As a result, three panel discussions covering the active stages (Initial, Planning, and Execution) of developing an institutional RDM strategy were successfully delivered through the Alliance RDM to a diverse range of institutions. Recognizing the needs of smaller institutions including CEGEPS, colleges, and polytechnics, an additional panel discussion was developed and delivered to this audience.</p>

<p>In this presentation, we will highlight the survey recommendations and how they had a snowball effect and ignited difficult but productive conversations within and between institutions, the Tri-Agency, and Alliance RDM about institutional disparities based on geography, size, and language. These conversations are setting the foundation for stronger partnerships and collaborations in developing institutional RDM strategies.</p>"
x,Data archives: Bridging the gaps in research output support,Janet McDougall,Steven McEachern,,,,,,"<p>Research outputs produce a range of data types with varying levels of purpose and significance. While research projects are separate to the function of a data archive, the underlying data and computing expertise, and persistent infrastructure needs are similar - especially where outputs are of significant research and national value. To achieve persistence, preservation, and accessibility, both archives and project outputs require high levels of specialised data archival, management, and computing expertise.</p>

<p>The Australian Data Archive (ADA) has been providing a national service for the deposit, archiving and dissemination of digital research data since 1981; primarily in the area of the social sciences. ADA has progressively become more involved in significant research projects producing or using Indigenous data, with both Indigenous and non-Indigenous research partners. These projects, often based on extension of existing relationships, have involved collaboration and support for Indigenous data collections. Concern for data sensitivity, security, formal archival processes, and longevity are a priority &ndash; increasingly in support of Indigenous Data Sovereignty and Governance.</p>

<p>This presentation will give an overview of several recent ADA projects in this area: Technical liaison and infrastructure support for the Return, Reconcile, Renew Project, for the return of Ancestral Remains; a data audit project with ANU First Nations Portfolio; data management and archival direction for an Aboriginal land council; a second collaboration with the land council, to pilot an Indigenous CMS for digital cultural preservation.</p>

<p>These case studies will consider gaps that exist in research output support for both persistent infrastructure and archival data management, gaps evident from the fact that ADA is being approached to fulfil these roles, often through relationships, rather than formal channels. The presentation will conclude with a discussion of future needs in research output support, particularly for sensitive data projects involving Indigenous data.</p>"
