Column,First Author,Second Author,Third Author,Fourth Author,Fifth Author,Sixth Author,Title,Abstract
x,Hanna Lindroos,,,,,,Creating a Transparent and Interoperable Curation Workflow,"<p><span>NYU IT and Data Services launched a new research repository, UltraViolet (made with InvenioRDM), in May 2022. Prior to opening the service, the curation team spent significant time planning and designing a transparent, interoperable workflow. Influenced by the collaborative curation model of the Data Curation Network, including their CURATE(D) steps, the team decided to use shared file and information management systems, with no crucial pieces of communication or tracking left in an individual&rsquo;s email or personal documents. The workflow weaves together several tools, all of which were previously available and familiar to system users. Patrons begin by entering metadata about a deposit in a Qualtrics form, which feeds into Springshare&rsquo;s LibAnswers portal. An available curator responds using a LibAnswers macro and supplies a Globus upload link; the researcher then adds their files. As the curator reviews the files and communicates with the researcher, they can use internal notes and templates in LibAnswers that incorporate DCN CURATE(D) checklists to ensure the curator stays attuned to crucial pieces of the curation workflow and maintains a log our whole team can access. All communication with the researcher (both emails and notes from conversations) also stays in LibAnswers, enabling other curators to pick up or refer back to the conversation. For large data, curators can also use an API to connect Globus directly to UltraViolet. This connection automatically loads data to the appropriate record in UltraViolet, transferring the files to our preservation repository while maintaining an ready access copy. The poster depicts this workflow and points to some future refinements and improvements we hope to make, such as connections with other InvenioRDM tools and automations. </span></p>"
x,Hayley Mills,Becky Oldroyd,,,,,The Office for National Statistics Longitudinal Study,"<p>This presentation showcases the Office for National Statistics Longitudinal Study (ONS-LS) and the opportunities that it offers for longitudinal research on the England and Wales population.</p>
<p>The ONS Longitudinal Study, follows a 1% sample of the England &amp; Wales population from the decennial census data (1971 &ndash; 2011), linked to births, deaths and cancer registration data. Sample members are selected on the basis of four confidential birthdays, with new study members entering the study through birth on one of the four birthdays or immigration (and being born on one of the four birthdays) and leave through death or emigration. The main strength of the LS is its large sample size (&gt;1 million), making it the largest nationally representative dataset in the UK, and allowing the analysis of small areas and specific population groups.</p>
<p>The ONS-LS currently has 46 years of follow-up data 1971 &ndash; 2017, and the upcoming linkage of the 2021 Census data to the Study will extend this follow-up to 2021 enabling researchers to examine changes that have taken place in 2011 &ndash; 2021 period, which saw Brexit and the Covid 19 pandemic. The paper will introduce the data available in the ONS-LS and will discuss its size and scope. The support available to researchers interested in using the ONS-LS in their research from the Centre for Longitudinal Study Information and User Support (CeLSIUS) is also highlighted, as are the arrangements for accessing the data.&nbsp; The presentation also summarises some recent examples of research using the ONS-LS and highlights some key areas for future research. It concludes with a brief introduction of the ONS-LS&rsquo;s sister studies, the Scottish Longitudinal Study and the Northern Ireland Longitudinal Study, and the opportunities that these studies offer for comparative research.</p>"
,Hayley Mills,Kathryn Lavender,Alina Danciu,,,,Data Sheets in Practice - An Exploration of Machine Learning Dataset Descriptions,N/A
,Heather Owen,Sarah Siddiqui,,,,,Charting a Collective Course for Data Repositories at the World Data System,"<p>The World Data System (WDS), an affiliate member of the International Science Council, serves a membership of trusted data repositories and related organizations. Governed by a Scientific Committee, the WDS consists of an International Program Office (WDS-IPO) based in Oak Ridge, Tennessee, USA, and an International Technology Office (WDS-ITO) based in Victoria, BC, Canada. The WDS mission is to enhance the capabilities, impact, and sustainability of our member data repositories and data services.&nbsp;</p>
<p>In this presentation, we report on progress for the 2022-2024 Action Plan of the World Data System, which has four objectives: 1) Provide services and support to existing and new members, 2) Develop value narratives for WDS members, 3) Provide global leadership and agenda setting, 4) Enhance access, quality and accessibility of data worldwide. Featured activities pertain to important topics like open data for open science, artificial intelligence, data repository attributes, data commons, Indigenous data governance, more inclusive regional and disciplinary scope, and more. We also take a preliminary look at future plans and rationale for the uncharted future of data, as we look ahead to 2025 and beyond.</p>"
,Hilary Bussell,,,,,,Assessing data deposits in an institutional repository (U of T Dataverse in Borealis),"<p>U of T Dataverse, the University of Toronto's data repository, is one of the largest institutional dataverse collections in Borealis with over 1000 published datasets. It currently follows a self-deposit model that allows U of T researchers to deposit and publish their data without intervention unless requested. Considering increased usage of the repository and new and developing data deposit policies, we conducted an assessment of U of T Dataverse to (1) review the quality of published datasets, and (2) understand who is using the repository. This was accomplished by analyzing the monthly Borealis metrics and conducting a quality assessment of select datasets&rsquo; structure and associated metadata. Ultimately, this assessment will be used to help conceptualize curation services and identify resources to develop that would enable high-quality data deposits. In this presentation we will discuss our approach to this assessment, preliminary findings, and how this project will shape our approach to service and resource development. Overall, this project will allow us to better understand disciplinary trends relating to who is (and isn&rsquo;t) using U of T Dataverse, help develop clear processes and guidelines, and inform training and departmental outreach. Longer-term, it will help us estimate the effort and time required to provide curation services, inform priorities for repository development, and help us anticipate the impact any change in national policy may have in demand for institutional services.</p>"
,Homeyra Banaeefar,Sarah Burchart,Eszter Pálvölgyi-Polyak,Elizabeth Moss,Elisabeth Shook,,Urban Tapestry: Weaving Geospatial Data with Social Sentiment to Understand Crime Patterns,"<p><span>The intricate interplay between urban landscapes and societal dynamics is nowhere more palpable than in the study of crime trends. This research navigates the realm of urban criminology through a novel lens by integrating geospatial analysis of land use and infrastructure data with sentiment analysis from social media. This work examines how the fabric of urban design influences crime occurrence and public perception. The geospatial component utilizes a comprehensive set of urban data, to map crime hotspots and investigate correlations with urban form. Complementing this, sentiment analysis of social media content offers a pulse on community sentiments towards crime and safety. Despite limitations in geotagged data, innovative natural language processing techniques, respecting ethical and privacy standards, aim to approximate spatial sentiment distributions. This bifocal approach not only highlights areas of concern but also elucidates public response to crime, potentially serving as a barometer for policy impact. The presentation undertakes a deep dive into how data-driven insights can empower data and geospatial professionals within libraries, research, and archives to craft narratives that blend numbers with nuance, aiding in the design of safer, more resilient urban spaces.</span></p>"
,James Mitchell Doiron,,,,,,Mapping a Legacy: Ukrainian Immigration and the Settlement of Western Canada,"<p>Ukrainian Canadians began to settle in western Canada in 1892. Settlement occurred in 'blocks' &ndash;&nbsp;farm-sized quarter sections demarcated by the Dominion Lands Survey. Block settlement allowed the new migrants to settle among family and communities and contributed to the growth of a strong Ukrainian Canadian community. This&nbsp;was initially preferred by immigration and land agents, as it made their work easier, but the practice soon fell out of favour. Despite government opposition, Ukrainians continued to settle in&nbsp;these&nbsp;same&nbsp;patterns, establishing the Ukrainian Canadians as one of main ethnic groups that contributed to the development of the newly established Western Canada and Dominion of Canada.<br><br>This project will use census data along with archival&nbsp;and genealogical&nbsp;documents to create an interactive map showing the movement of Ukrainians to and across Canada throughout their 130-year period of immigration. Most of the demographic information about the history of Ukrainian block settlement is contained in static thematic maps that were published over 30 years ago. With the addition of census data, these maps can be transformed into dynamic and interactive objects.<br><br>This project seeks to preserve the historically significant research on Ukrainian immigrant block settlements with the creation of an openly accessible geospatial resource that includes historic and contemporary census data. This interactive mapping project will be a valuable resource for researchers, educators, and the general public interested in exploring the multifaceted narrative of Ukrainian immigration in Canada.</p>"
,Janet Rothney,Meghan Goodchild,Alexandra Cooper,,,,DMPTool & DMP Introduction for Subject Librarians,"<p>This poster describes a virtual one-hour hands-on training session for librarians that was designed to introduce them to the DMPTool and give them an opportunity to practice providing feedback on data management plans (DMPs). Using the DMPTool, the instructors created purposely flawed DMPs for NEH, NIH and NSF grants. Before the session, attendees were assigned one of the three DMPs to review and were expected to come to the session with talking points to improve the DMP. The DMP exercise introduced librarians to the concept of critically assessing a DMP, illustrating the value of subject librarian expertise when evaluating the document, and recommending improvements to researchers in their areas. The attendees were able to share observations, and learn together about the kinds of improvements that are often needed.</p>"
,Jemima Stockton,,,,,,Adaptive Research Data Management,"<p>Adaptive data governance is an approach to data governance, primarily used in corporate settings. This approach, and accompanying principles derived from Gartner Research, can be adapted for use in the context of research data management at academic and other insitutions. My presentation covers the basics of this approach along with how I use various governance strategies to respond to disparate and rapidly changing data management needs of researchers across campus.</p>"
,Jennifer Zeiger,,,,,,The best things in life are free but data sharing is not: A multi-institutional study of the realities of academic data sharing,"<p>With increasing requirements to make research data publicly available, it is critical to acknowledge and understand the labor and costs required to meet these obligations. This panel will present results from the Realities of Academic Sharing (RADS) initiative, a mixed-method study across six US Research Universities. Through surveys of and interviews with institutional administrators and federally funded researchers, we assessed engagement with data management and sharing (DMS) activities and the costs associated with this work. We found that institutions support a broad range of DMS activities, and invest an average of $750,000 annually in this support, with the highest costs falling on IT and Libraries. Researchers also engage with DMS activities, although many do so without institutional support. This panel will consist of separate presentations on the various facets of our results, focusing on four different institutional perspectives. First, we will discuss the Libraries, which support the majority of DMS activities across institutions, and bear some of the highest costs for DMS support. Secondly, we will highlight the support and expenses of other administrative offices such as Institutional Technology, Research Offices, and Specialized Centers. These offices are often overlooked as primary DMS service providers, but support a substantial number of DMS activities and bear considerable infrastructural costs. Thirdly, we will present the results for researchers, who spend an average of nearly 6% of their grant award totals on DMS activities, with this value more than doubling for smaller grant awards. Although most report engaging in DMS without institutional support, we found some evidence of cost-savings for those who did engage institutionally. Finally, we will discuss implications for practices and data-informed responses at the individual institution level, as well as invite collaboration in future research to broaden and diversify the institutions represented in this initial study.</p>"
,Jeremy Darrington,,,,,,Practical Considerations When Archiving Reproducibility Packages,"<p>With reproducibility of results becoming well-established as a gold standard for publication by researchers, and increasing requirements from journals and research funders to share data and code, the necessity of education in the archiving of reproducibility materials and its difference from archiving data alone is growing within the field of data librarianship. Ten years after establishing the Cornell Center for Social Sciences's (formerly CISER) Results Reproduction Service, we share lessons learned in verifying, certifying, and archiving reproducibility packages. We will discuss typical consultation questions, things to watch out for, and staffing and technological infrastructure requirements.</p>"
,Jessica Ko,Kelsie Norek,,,,,"Data Reuse Among Digital Humanities Scholars: A Qualitative Study of Practices, Challenges and Opportunities","<div>
<div>
<div><span>Scholarship is more and more data-driven, and as digital tools continue to evolve, sound data use practices among scholars are now essential for scientific discovery. Data reuse is central to an emerging cultural push towards a more open way of doing science. The study investigates the challenges and opportunities in reusing research data among digital humanities (DH) scholars. Its findings may serve as a case study for how disciplinary practices influence the ways in which scholars reuse data. The aim of the study is to enhance current thinking and provide insight for information and library science practitioners at the intersection of DH and data reuse. Data were collected using interviews. An analysis of semi-structured interviews with 12 DH scholars working in universities, research centres and cultural and heritage organizations internationally was performed. The study found that lack of time and resources, inconsistent data practices, technical training gaps, labour intensity and difficulties in finding data were the most challenging. Participants revealed a number of enabling factors in data reuse as well, and chief among them were collaboration and autodidacticism as a feature of DH. The results indicate a gap between data reusers and data sharers - low rates of sharing reduce the amount of findable and accessible data available for reuse. Both data reusers and data sharers must begin to see themselves as embedded into the research data lifecycle within the research infrastructure. The recommendation includes policy, education, and structural changes to the research culture, including data literacy, the development of self-paced RDM training material, improvements to data discovery systems, rewarding data sharing, and creation of curation and preservation networks to help with data stewardship. The primary audience for this thesis is DH practitioners, librarians, funders and data repository managers and designers but findings around researcher motivations for data reuse may be helpful for researchers in the humanities and social sciences.</span></div>
</div>
</div>
<div>&nbsp;</div>
<div>
<div>
<h2>Keywords</h2>
<div><span>Data Reuse</span><span>,&nbsp;</span><span>Research Data Management</span><span>,&nbsp;</span><span>Academic Culture</span><span>,&nbsp;</span><span>Digital Humanities</span><span>,&nbsp;</span><span>Scholarly Communications</span><span>,&nbsp;</span><span>Meta-research</span></div>
</div>
</div>"
,Jonathan Bohan,Florio Arguillas,,,,,Bubbling on the institutional radar: Charting the topography of Research Data Management at Queen's University of Belfast,"<p>This presentation provides a brief overview of Research Data Management (RDM) services at Queen's University Belfast, outlining its genesis and chronology, delineating what the service involves and highlighting the salient challenges we face. It concludes with some observations and musings which may be benefical for other peer institutions with RDM services.</p>"
,Kate Barron,Ron Nakao,Barbara Esty,Bobray Bordelon,,,The Fashion of Collaboration in Geospatial Data Librarianship: Shaping Emerging Research Data Management Services,"<p>To the best of my knowledge, there has been limited research in the context of geospatial data librarianship into the growing trends in its data services, particularly in regard to research data management services (RDMS) and collaboration trends. While geospatial data is becoming increasingly important in addressing global concerns and enabling a wide range of applications, there is still a gap in understanding how developing RDMS interact with collaborative efforts in the geospatial data librarianship area. These services include the difficult curation, preservation, and accessibility of geospatial datasets, each with its own set of spatial and temporal dimensions. Collaboration emerges as a critical feature at multiple levels within this dynamic ecology. For instance, inter-multidisciplinary collaborations are becoming more important as geospatial data librarians collaborate with researchers from other professions to build tailored RDMS for specific domains. This will ensure that data management strategies fit the specific needs of each profession. Second, intra-institutional interactions within institutions become critical for efficient RDMS, mandating close collaboration between libraries, research centres, IT departments, and cartography units. Such arrangements help to ensure the seamless integration of geospatial data into the academic and research environments, as well as a uniform approach to data stewardship. Finally, cross-sectoral collaborations among academic institutions, government agencies, and industry stakeholders are critical in shaping geospatial data management policies, standards, and practices, fostering advancements in RDMS on regional, national, and international scales. Through an examination of these trends, the absence of research on this topic may reveal the diverse degrees of collaboration inherent in the evolving fashion of geospatial data librarianship as it relates to enabling users access to geospatial data. This, in turn, will foster progressions in the domain of librarianship, geospatial sciences and its extensive pragmatic applications.</p>"
,Katherine Koziar,Carrie Cruce,,,,,Supporting researchers & DMP funder requirements in Canada: An overview of DMPEG activities and a new DMP template!,"<p>The Digital Research Alliance of Canada&rsquo;s Data Management Planning Expert Group (DMPEG) develops and delivers publicly available DMP-related guidelines, best practices, content, and resources for supporting researchers and research excellence across Canada, including DMP templates, examples, and guidance materials. Additionally, DMPEG supports the ongoing development, maintenance, and sustainability of DMP Assistant, a freely available bilingual web-based tool providing templates, questions, and guidance for supporting researchers with their DMP needs.</p>
<p>&nbsp;This session provides an overview of DMPEG activities and resources, notably focusing upon a new DMP template that has been developed specifically to support researchers in meeting DMP requirements at the funding application stage, including those implemented by the Tri-Agency, Canada&rsquo;s national funders of research across the Social, Health, and Natural Sciences. An overview of the template and its content, including key guidance and questions, and how to access and use it within DMP Assistant, will be provided. Additionally, a description of the template development process, including review and feedback processes with key stakeholder groups such as the DMP Assistant Administrators Group, Tri-Agency colleagues, and the Alliance RDM Network of Experts will be discussed. A DMP assessment rubric corresponding to the new template, and aiming to be released by Spring 2024, will also be discussed, along with additional resources developed by DMPEG, including DMP examples, as well as future work and directions, including with respect to the DMP Assistant platform.</p>
<p>&nbsp;</p>"
,Kathryn Lavender,Hayley Mills,Jon Johnson,,,,Boosting Data Findability: The Role of AI-Enhanced Keywords,"<p>In today&rsquo;s data-driven world, data has become more valuable than ever. Finding relevant data within a vast expanse of data can be quite challenging at times. Researchers have been working on finding different methods to offer the relevant data to users easily and swiftly. Focusing on data and its reusability, FAIR principles emphasize on the importance of findability of data. Finding the relevant data will make the life of data users easier and at the same time improves the reusability quotient of the data for data producer.</p>
<p>For data archives, providing the relevant data to the data consumers is important. Data archives use keywords to define a study. These keywords are mostly chosen from the available set of controlled vocabularies (CVs) in the form of Thesauri. Sometimes the data producers, unable to find suitable keywords for their study use their own keywords, called user-defined keywords. User-defined keywords on one hand solves data producers&rsquo; problems, but on the other hand poses a challenge for the data archive to make data findable for future data consumers. One such example is GESIS Search. GESIS Search is a web-portal which provides a platform to find surveys and social science research data. Users can query the research data based on metadata fields like Topic, Author and many more. In this paper, we focus on Topic field to make the research data more findable. However, the user defined keywords in the Topic field acts as hinderance to data findability. Therefore, the role of assigning CVs to user-defined keywords is crucial to solve this challenge. Manually assigning CVs to user-defined keywords costs a majority of resources and time. We aim to employ Artificial Intelligence (AI) techniques to automate the process of broader-term assignment from CVs, improving the findability along the way for the studies in GESIS Search.</p>"
,Kati Mozygemba,Noemi Betancort Cabrera,,,,,Integrating Open Government Data Perspectives within Data Literacy Efforts,"<p>This poster will cover three separate sets of learning outcomes and lessons plans or roadmaps for open government data-focused teaching instances previously piloted with Columbia University Libraries and the Minor in Data Science Program at the University of Notre Dame: (1) a semester long credit-bearing course that combines reading discussions and engagement with data science tools; (2) an assignment related to metadata enrichment; (3) a workshop related to finding and evaluating open government data. The poster will also discuss strategies to co-define and co-evaluate the concept of &ldquo;open&rdquo; with students in varying topics: (1) Open government policies and practices; (2) technological infrastructures that support open data; (3) ethics, privacy, and social justice.<br><br>Embedding open government data perspectives in data literacy efforts&ndash;whether it&rsquo;s a workshop or credit-bearing courses&ndash;provides a myriad of opportunities for undergraduate and graduate students to engage with the technical, legal, and ethical implications of working with civic data. In a credit-bearing course context, students can inspect the major laws and policies surrounding open government while also examining the social and technological challenges and advancements that shape the future of open data&mdash;for example, grassroots data intermediaries obtaining and &ldquo;translating&rdquo; open government data for a public audience. When a course is more computational or methods-oriented, open government data allows for students to explore the challenges and opportunities of working with data with varying levels of complexity and &ldquo;cleanliness,&rdquo; signifying and clarifying the importance and utilitarian role of metadata within the data lifecycle.</p>"
,Kevin Manuel,Michele Hayslett,Van Bich Tran,,,,Charting a FAIR Direction for the US Government Information Ecosystem,"<p>FAIR Principles are most often associated with research data, but they have applications in other ecosystems. With the FAIR Principles as common ground, we explore the current system of government information dissemination within the United States to see how FAIR Principles can be applicable to the complex ecosystem of federal government information.</p>
<p>Following the guidance of the U.S. Office of Science and Technology Policy (OSTP), federal agencies increasingly take into consideration FAIR Principles as part of practices to improve public access to federally-supported research data. However, information that has been produced by the government for public access also includes publications, websites, databases, and other forms of content, nearly all of which are now born-digital. Dissemination is subject to the guidelines of the Office of Management and Budget (OMB), but once it is published online, stewardship falls to a myriad of responsible agencies, depending on the specifics of the content. This leaves gaps in what is collected, described, made available, and preserved for future discovery and reuse.</p>
<p>This talk will chart some of the boundaries and potential for future collaboration and partnership among practitioners and stakeholders.</p>
<p><strong><br><br></strong></p>"
,Kokila Jamwal,,,,,,Charting a course for open data literacy education,"<p>This presentation shares a new model for developing open source data literacy lessons collaboratively. The Library Carpentry Curriculum Advisory Committee (LC-CAC) adopted a new lesson adoption policy in 2023 to encourage creating and broadening the scope of data literacy lessons in Library Carpentry. The policy leverages open-source frameworks for lesson development, such as the Carpentries Incubator (https://carpentries-incubator.org), along with open peer review via the Carpentries Lab (https://carpentries-lab.org), to support a variety of burgeoning data and information-science educational initiatives. While the traditional LC curriculum introduces tidy data concepts and tools such as Git, the Unix shell, and OpenRefine, early work using the new lesson adoption model has begun to integrate lessons on artificial intelligence, computational thinking, and data curation. LC-CAC has also partnered with UCLA to support the inclusion of materials developed under the IMLS-funded Lessons for Librarians in Open Science project (https://ucla-imls-open-sci.info). Six new lessons focused on topics such as data management, open qualitative research, open science hardware, and reproducible workflows are already being developed during year one of the two-year grant.</p>
<div></div>"
,Kristina Strand,Morten Jakobsen,Jeannine Beeken,Hilde Orten,Darren Bell,,Presenting JEDI: The Journal Editors Discussion Interface,"<p>The Journal Editors Discussion Interface (JEDI) is a thriving online community of 460+ current, former, and incoming social science journal editors, data professionals, and metascientists. JEDI provides an online forum that has hosted numerous discussion threads on open science and journal editing. Drawing on information and materials provided in these discussions by its members, JEDI has also begun to compile a substantial collection of open science resources directed at journal editors. The community is organized by the Data Preservation Alliance for the Social Sciences (Data-PASS), a voluntary partnership of organizations created to archive, catalog, and preserve social science research data, and has received continued funding from the NSF. In this short talk, we first present JEDI &mdash; how its origins, rooted in discussions on editorial processes concerning data, code, and their management &mdash; has evolved to encompass topics as diverse as citation practices, research transparency and accessibility, and peer review, among others. Then, we share insights from JEDI&rsquo;s three years of existence that we believe are applicable to other scientific communities as well: how to build and sustain community within academia, what challenges JEDI has encountered and how we have tackled them, and how open science plays a central role both as an objective and a guiding principle for JEDI.</p>"
,Lauren Phegley,Lynda Kellam,,,,,AI and the Sporadic Librarian-Coder: Adventures in Muddling Through and Excelling (Occasionally),"<p>For the occasional librarian-coder--those who know more than the basics, but for whom coding is not a primary/daily task--trying to remember specific syntax or commands often creates enough inertia to prevent us from tackling projects or using coding in ways that could improve our work or help our patrons. Can AI coding tools, like ChatGPT and GitHub&rsquo;s Copilot, lower the bar enough to make such projects worthwhile and successful...at least occasionally?</p>
<p>I present some of the ways I've used these tools to augment my less-than-professional coding skills in devising solutions to practical work challenges, like creating simple workflow improvements, building custom tools, collecting and parsing datasets for patrons, and enhancing data collections I&rsquo;ve purchased for the library. Along the way, I&rsquo;ll discuss opportunities, challenges, and some things I've learned by working with these tools.</p>"
,Leanne Trimble,David Price,Julia Barkhouse,,,,Introducing the MAST Methodology - a new framework for developing metadata management capability,"<div>
<p>As more academic fields and government sectors experience the value of data, the need for increased data literacy and data librarianship has grown dramatically. However, the necessary skills for data and metadata management remain concentrated within specialised data management areas. Additionally, some novice data users from underrepresented communities may not have the access to tools, resources and networks to develop capability for data documentation. To meet the needs of the growing diversity of data users, new methods are required to support the democratisation of knowledge and capability to support data librarianship.<br><br>Based on research and experience with data governance across 15 Government departments and Academic organisations this talk introduces the MAST Methodology - an operational framework for building sustainable data culture.<br><br>Building on existing data governance frameworks, the MAST Methodology provides practitioners with 4 major principles - Metadata, Analysis, Support &amp; Teamwork - to build skills and organisational support for data management. This is extended by examining how change management for data can deliver IDEAL metadata through the steps of Inventory, Documentation, Endorsement, Auditing and Leadership to develop a pragmatic approach to build a sustainable data culture.<br><br>In this poster, we will cover:<br><br>* Existing challenges in change management and education in data governance * The four principles of the MAST Methodology and how they improve data governance capability especially among novice practitioners and underrepresented fields * The role of specialist teams in developing a culture of peer review to support knowledge development and retention for operationalised data governance * A breakdown of how the IDEAL metadata framework rapidly improves data quality, along with low- or no-cost practical steps to support under-resourced communities Lastly, we discuss how the Aristotle Metadata Registry implements the MAST Methodology with examples demonstrating how these tools improve data quality and increase engagement with metadata.</p>
<p>&nbsp;</p>
</div>"
,Lina Marie Harper,,,,,,Canadian Urban Data Catalogue,"<p><span>Introduction: The surge in open data platforms such as CKAN and </span><span>Dataserve</span><span> has expanded the urban data landscape, yet data scarcity persists due to inadequate metadata, poorly tailored data presentation, and localization challenges (</span><span>Ojo</span><span> et al., 2016). Decentralization of repositories further complicates data discovery and metadata inconsistencies and obstructs dataset identification, comparison, and deduplication. The Canadian Urban Data Catalogue (CUDC) addresses these issues by providing a comprehensive catalogue of both accessible and restricted Canadian urban datasets and web services. It incorporates a dataset metadata maturity model that ranks datasets by metadata completeness, where higher maturity denotes greater detail. Following Fox et al. (2024), the levels assess search-relevant attributes, extending to licensing, governance, and compliance with FAIR and indigenous data principles, ensuring a structured and mature metadata framework for catalogue entries.</span><span><br><br></span><span>Methodology: The development of CUDC involves a user-centric approach, focusing on its users' practical needs and behaviours. The architecture integrates the maturity model with an advanced knowledge graph database for metadata analysis, developed as an open-source CKAN plugin that provides:</span><span><br></span><span>1. Cataloguing: a metamodel, extension support, upload capabilities, and API access points, ensuring accessible and transparent data access policies.</span><span><br></span><span>2. Search Functionality: a wide range of searchable metadata organized for easy data entry and retrieval.</span><span><br></span><span>3. Dataset Usage Quality: encourages comprehensive metadata provision for determining dataset applicability and relevance.</span><span><br></span><span>4. Search Behaviour Analysis: offers insights into dataset search models and tools, identifying key metadata across domains.</span></p>
<p><span>References</span></p>
<p><span>Ojo</span><span>, A., </span><span>Porwol</span><span>, L., Waqar, M., </span><span>Stasiewicz</span><span>, A., Osagie, E., Hogan, M., </span><span>Harney</span><span>, O., and </span><span>Zeleti</span><span>, F. A. (2016, October). Realizing the innovation potentials from open data: Stakeholders&rsquo; perspectives on the desired affordances of open data environment. In Working Conference on Virtual Enterprises (pp. 48-59). Springer, Cham.</span></p>
<p><span>Fox, M., Gajderowicz ,B., </span><span>Lyu</span><span>, D. (2024), A Maturity Model for Urban Dataset Meta-data. Manuscript under review.</span><span><br></span></p>"
,Linda Detterman,,,,,,Promoting AI and Data Literacy at an Academic Library,"<p>While machine learning has been used in libraries and higher education in different ways for several years, the rapid and growing availability of AI tools has brought the term AI to the forefront of many conversations. Librarians at the University of California, Riverside (UCR) Library developed a response to promote AI and data literacy both within the library and the UCR community in general. Starting by leading an ongoing internal library discussion group - AI Intersection with Higher Education and the Academic Library - we developed an informal collaborative space to share ideas, concerns, experiences, and self-educate on the impact of AI on our work. This positioned the library within the larger campus to contribute to the response to AI tools, and provided a foundation for AI literacy workshops, which focused on fundamental knowledge of AI with emphasis on consumer level tools. The co-leads were especially mindful to include ethical implications, highlighting possible benefits and harms of AI tools. This poster will describe our experiences and challenges developing these initiatives. We will also highlight feedback from colleagues and learners, and share our future plans.</p>"
,Lori McCay-Peet,Lucy Ye,,,,,Digital Narratives in Flux: Navigating Preservation Challenges for Classic ESRI Story Maps,"<p>For the past decade, Esri's story maps platform has offered a way to combine maps, text, images, and other multimedia, facilitating the creation of engaging narratives with minimal technical barriers. The challenge of preserving work in this format looms large, however, as the retirement date for the ""classic"" version of the platform approaches. The presentation describes an effort undertaken at the University of Minnesota to contact authors for hundreds of public-facing story maps. It reflects on the difficulty of managing scholarly outputs in a system not primarily designed for that purpose and of representing web-based work within the library record.</p>"
,Lynda Kellam,Deborah Yun Caldwell,,,,,Using GIS for Historical Data Rescue and Digitalization in Libraries: The 1961 & 1971 Canadian Census Subdivisions & Counties Project,"<p>Digitization of massive volumes of print publications held in libraries and archives contains valuable historical government information such as embedded facts, figures, data, tables, maps, reports, documentation, code, and more. Over the past two decades, various projects have undertaken large-scale &lsquo;digitalization&rsquo; of historical, pre-digital Censuses of Canada. For the Census of Canada modern era, there are two main gaps that remain for the 1961 and 1971 Censuses corresponding to local governments (municipalities), counties, and equivalent units in municipally unincorporated areas. These units are called Census Subdivisions (CSDs) and are nested within Census Divisions (CDs). Extraction of census data and boundaries using geographic information systems (GIS) supports data rescue and enables broad discovery and reuse across research disciplines. This poster will outline a project to &lsquo;digitalize&rsquo; the CSD boundaries for 1961 and 1971 using the best available reference materials and leveraging previous and newly digitized sources, including digitized print source maps, and then, using GIS to draw and assign each CSD polygon with the appropriate ID code and name to match with available data sources.</p>"
,Madiareni Sulaiman,,,,,,Navigating the future of data sharing: The impact and cost of expanded public access requirements,"<p>Updates to US Federal government policies requiring public access to federally funded research are prompting concerns over the cost and effort required to meet expanded public access requirements. Funders&rsquo; policies typically allow researchers to include the costs associated with providing public access in their grant proposal budgets. Invest in Open Infrastructure&rsquo;s research seeks to shed light on what constitutes &ldquo;reasonable&rdquo; cost for providing public access to data and publications. We will present quantitative findings on the characteristics of datasets arising from US federally funded research, and summarize available information on the cost of providing data sharing services along with the price those services charge to researchers or their institutions. Finally, we will share our approach to and preliminary results from qualtitative research with stakeholder groups: researchers and their institutions, repositories, and scholarly societies. For each actor in the system, we seek to understand their plans, workflows, decision points, and concerns with respect to the evolving requirements. While this project takes a US focus, the findings are of broad potential interest as the practice of open science and research data sharing are referenced in the UNESCO Recommendation on Open Science, and subject to numerous national research funder policies around the world.</p>"
,Madison Golden,,,,,,Love notes to our future selves: Digital preservation and data curation,"<p>As the volume of research data grows in both size and complexity, concerns about maintaining access to files that are difficult (or impossible) to migrate, reliant on software that is not openly available or no longer accessible, or of such poor quality that they cannot be reused are heightened by an awareness of the environmental cost of digital storage. While archivists have a long history of practice guiding preservation decision-making and the deaccessioning or removal of records from archives, it is not clear how widely archival appraisal theory informs the approach to research data (Dorey, Hurley, and Knazook 2022).</p>
<p><strong>&nbsp;</strong></p>
<p>Long-term preservation of digital research data will prove challenging for repositories and preservationists, requiring substantially more information than is typically collected to support decisions about what to keep, how to maintain accessibility, and for how long. Preservationists need information about when the files were created, by whom, and using what software or tools, along with an understanding of the relevance of the data to the community of practice and its perceived long-term value. Curators play a critical role in communicating the informational value of datasets, and through their work with depositors, are in a unique position to collect information that will inform preservation decisions and reduce duplication of effort as data are (re)appraised over time, but they are often disconnected from preservation decision-making.&nbsp;</p>
<p><strong>&nbsp;</strong></p>
<p>In this panel discussion, we explore how training data curators in archival appraisal can help ensure long-term access to research data. We will hear an overview of a combined data curation and preservation workflow, and 3 institutions will discuss their experiences testing and refining a checklist developed at the Digital Research Alliance of Canada to record appraisal information about incoming datasets. We will end with a panel discussion and share a public version of the checklist.</p>"
